employee_id,first_name,last_name,email,phone,hire_date,department_id,position_id,manager_id,salary_grade,is_active,location,employment_type,created_at
24,Employee24,LastName24,employee24@company.com,+1-555-462-7939,2021-03-17,14,30,23.0,A,True,HQ,Part-time,2025-08-03 11:46:10
25,Employee25,LastName25,employee25@company.com,+1-555-447-2790,2022-01-15,8,13,6.0,E,False,Branch1,Part-time,2025-08-03 11:46:10
26,Employee26,LastName26,employee26@company.com,+1-555-385-8579,2020-07-06,8,5,14.0,E,True,HQ,Contract,2025-08-03 11:46:10
27,Employee27,LastName27,employee27@company.com,+1-555-956-1241,2021-07-07,3,49,7.0,B,False,Remote,Part-time,2025-08-03 11:46:10
28,Employee28,LastName28,employee28@company.com,+1-555-985-7570,2020-08-06,2,11,12.0,A,False,Branch2,Part-time,2025-08-03 11:46:10
29,Employee29,LastName29,employee29@company.com,+1-555-533-8973,2020-10-19,5,13,9.0,B,True,HQ,Contract,2025-08-03 11:46:10
30,Employee30,LastName30,employee30@company.com,+1-555-158-1821,2020-11-17,19,31,16.0,E,True,HQ,Contract,2025-08-03 11:46:10
31,Employee31,LastName31,employee31@company.com,+1-555-971-4044,2020-03-23,3,39,2.0,B,False,HQ,Contract,2025-08-03 11:46:10
32,Employee32,LastName32,employee32@company.com,+1-555-692-1651,2020-09-09,20,6,26.0,E,True,Branch2,Full-time,2025-08-03 11:46:10
33,Employee33,LastName33,employee33@company.com,+1-555-833-6147,2021-11-16,8,17,25.0,B,True,Remote,Part-time,2025-08-03 11:46:10
34,Employee34,LastName34,employee34@company.com,+1-555-869-2188,2022-08-09,1,30,6.0,A,True,Branch2,Full-time,2025-08-03 11:46:10
35,Employee35,LastName35,employee35@company.com,+1-555-457-2127,2022-08-13,8,24,18.0,B,False,Branch2,Contract,2025-08-03 11:46:10
36,Employee36,LastName36,employee36@company.com,+1-555-769-9666,2022-04-06,1,43,35.0,C,True,Branch1,Part-time,2025-08-03 11:46:10
37,Employee37,LastName37,employee37@company.com,+1-555-209-3546,2020-04-28,9,19,13.0,C,True,Branch2,Contract,2025-08-03 11:46:10
38,Employee38,LastName38,employee38@company.com,+1-555-357-1832,2021-05-15,3,41,27.0,C,True,HQ,Part-time,2025-08-03 11:46:10
39,Employee39,LastName39,employee39@company.com,+1-555-233-5291,2022-02-28,6,48,28.0,E,False,HQ,Full-time,2025-08-03 11:46:10
40,Employee40,LastName40,employee40@company.com,+1-555-807-3442,2020-03-18,18,3,23.0,E,True,Remote,Full-time,2025-08-03 11:46:10
41,Employee41,LastName41,employee41@company.com,+1-555-415-6974,2020-02-12,2,23,13.0,B,True,Branch2,Contract,2025-08-03 11:46:10
42,Employee42,LastName42,employee42@company.com,+1-555-995-7658,2022-06-24,20,48,9.0,B,True,Branch1,Part-time,2025-08-03 11:46:10
43,Employee43,LastName43,employee43@company.com,+1-555-283-6442,2020-01-26,14,43,15.0,C,True,HQ,Part-time,2025-08-03 11:46:10
44,Employee44,LastName44,employee44@company.com,+1-555-139-8711,2022-06-12,8,13,29.0,C,True,Branch1,Full-time,2025-08-03 11:46:10
45,Employee45,LastName45,employee45@company.com,+1-555-775-4164,2020-01-25,13,22,17.0,A,True,Branch2,Contract,2025-08-03 11:46:10
46,Employee46,LastName46,employee46@company.com,+1-555-509-9785,2021-06-05,11,2,7.0,C,True,Branch2,Full-time,2025-08-03 11:46:10
47,Employee47,LastName47,employee47@company.com,+1-555-710-8119,2020-04-21,12,47,20.0,D,True,Remote,Contract,2025-08-03 11:46:10
48,Employee48,LastName48,employee48@company.com,+1-555-360-1727,2020-07-13,14,1,33.0,E,True,Branch2,Part-time,2025-08-03 11:46:10
49,Employee49,LastName49,employee49@company.com,+1-555-780-6409,2020-03-12,20,21,42.0,A,True,Branch2,Contract,2025-08-03 11:46:10
50,Employee50,LastName50,employee50@company.com,+1-555-434-7592,2021-02-22,10,36,8.0,B,False,Remote,Contract,2025-08-03 11:46:10
51,Employee51,LastName51,employee51@company.com,+1-555-278-5930,2022-02-05,13,36,,C,True,Branch1,Part-time,2025-08-03 11:46:10
52,Employee52,LastName52,employee52@company.com,+1-555-693-6279,2022-03-15,15,29,28.0,B,False,Branch1,Contract,2025-08-03 11:46:10
53,Employee53,LastName53,employee53@company.com,+1-555-390-9445,2020-03-27,20,22,5.0,B,True,Branch1,Full-time,2025-08-03 11:46:10
54,Employee54,LastName54,employee54@company.com,+1-555-125-1757,2020-05-30,8,31,39.0,A,False,Remote,Contract,2025-08-03 11:46:10
55,Employee55,LastName55,employee55@company.com,+1-555-299-7291,2021-08-12,16,26,15.0,B,True,HQ,Part-time,2025-08-03 11:46:10
56,Employee56,LastName56,employee56@company.com,+1-555-280-9486,2020-08-12,15,4,35.0,B,True,Remote,Full-time,2025-08-03 11:46:10
57,Employee57,LastName57,employee57@company.com,+1-555-575-9702,2022-03-31,18,39,20.0,D,False,Remote,Full-time,2025-08-03 11:46:10
58,Employee58,LastName58,employee58@company.com,+1-555-982-8777,2022-01-31,15,17,48.0,B,True,Remote,Contract,2025-08-03 11:46:10
59,Employee59,LastName59,employee59@company.com,+1-555-381-8206,2020-09-01,3,46,18.0,B,True,Branch2,Part-time,2025-08-03 11:46:10
60,Employee60,LastName60,employee60@company.com,+1-555-653-2320,2022-07-03,5,10,14.0,D,True,Branch1,Full-time,2025-08-03 11:46:10
61,Employee61,LastName61,employee61@company.com,+1-555-517-6421,2021-02-28,18,30,26.0,A,True,Remote,Part-time,2025-08-03 11:46:10
62,Employee62,LastName62,employee62@company.com,+1-555-888-1320,2022-07-15,19,25,30.0,A,True,Branch2,Part-time,2025-08-03 11:46:10
63,Employee63,LastName63,employee63@company.com,+1-555-955-7865,2022-05-23,18,48,47.0,E,True,Remote,Full-time,2025-08-03 11:46:10
64,Employee64,LastName64,employee64@company.com,+1-555-546-8956,2020-10-06,1,25,43.0,D,True,Remote,Full-time,2025-08-03 11:46:10
65,Employee65,LastName65,employee65@company.com,+1-555-646-1441,2021-09-29,13,38,3.0,A,False,Branch1,Part-time,2025-08-03 11:46:10
66,Employee66,LastName66,employee66@company.com,+1-555-151-5262,2020-07-05,13,21,27.0,D,True,Branch2,Part-time,2025-08-03 11:46:10
67,Employee67,LastName67,employee67@company.com,+1-555-870-7906,2020-10-11,9,6,60.0,A,True,Branch2,Full-time,2025-08-03 11:46:10
68,Employee68,LastName68,employee68@company.com,+1-555-170-1659,2021-10-27,1,16,25.0,A,True,Branch1,Full-time,2025-08-03 11:46:10
69,Employee69,LastName69,employee69@company.com,+1-555-785-2874,2021-04-29,19,14,59.0,C,True,Branch1,Contract,2025-08-03 11:46:10
70,Employee70,LastName70,employee70@company.com,+1-555-865-2876,2021-09-13,6,20,13.0,E,True,Branch2,Contract,2025-08-03 11:46:10
71,Employee71,LastName71,employee71@company.com,+1-555-484-7498,2021-11-24,7,5,31.0,A,True,HQ,Contract,2025-08-03 11:46:10
72,Employee72,LastName72,employee72@company.com,+1-555-142-6688,2022-03-12,18,28,47.0,A,True,HQ,Part-time,2025-08-03 11:46:10
73,Employee73,LastName73,employee73@company.com,+1-555-601-2729,2022-04-22,14,24,58.0,B,False,Branch1,Contract,2025-08-03 11:46:10
74,Employee74,LastName74,employee74@company.com,+1-555-766-5425,2021-06-18,20,35,61.0,D,False,Branch2,Part-time,2025-08-03 11:46:10
75,Employee75,LastName75,employee75@company.com,+1-555-351-2419,2022-05-22,9,29,31.0,D,False,Branch2,Full-time,2025-08-03 11:46:10
76,Employee76,LastName76,employee76@company.com,+1-555-971-6325,2021-05-21,6,32,27.0,C,True,Branch2,Part-time,2025-08-03 11:46:10
77,Employee77,LastName77,employee77@company.com,+1-555-710-5526,2022-06-20,18,1,66.0,B,True,Branch1,Contract,2025-08-03 11:46:10
78,Employee78,LastName78,employee78@company.com,+1-555-600-4937,2021-02-20,16,42,62.0,D,True,HQ,Part-time,2025-08-03 11:46:10
79,Employee79,LastName79,employee79@company.com,+1-555-514-4986,2020-08-14,10,43,74.0,C,False,Branch2,Part-time,2025-08-03 11:46:10
80,Employee80,LastName80,employee80@company.com,+1-555-663-6419,2022-02-02,12,45,58.0,C,True,Branch2,Full-time,2025-08-03 11:46:10
81,Employee81,LastName81,employee81@company.com,+1-555-838-4155,2020-05-03,11,8,68.0,B,True,Branch1,Contract,2025-08-03 11:46:10
82,Employee82,LastName82,employee82@company.com,+1-555-383-9595,2021-05-10,20,19,12.0,B,True,Branch1,Part-time,2025-08-03 11:46:10
83,Employee83,LastName83,employee83@company.com,+1-555-409-1231,2020-07-02,18,9,35.0,A,True,Branch2,Contract,2025-08-03 11:46:10
84,Employee84,LastName84,employee84@company.com,+1-555-229-9042,2022-08-24,4,1,73.0,C,False,Remote,Part-time,2025-08-03 11:46:10
85,Employee85,LastName85,employee85@company.com,+1-555-288-1841,2020-12-14,9,31,14.0,A,False,Remote,Full-time,2025-08-03 11:46:10
86,Employee86,LastName86,employee86@company.com,+1-555-744-1878,2021-08-13,5,10,72.0,C,True,Branch1,Full-time,2025-08-03 11:46:10
87,Employee87,LastName87,employee87@company.com,+1-555-882-7818,2021-07-25,20,39,79.0,B,False,Remote,Part-time,2025-08-03 11:46:10
88,Employee88,LastName88,employee88@company.com,+1-555-980-8025,2020-10-31,10,37,79.0,A,True,Branch1,Contract,2025-08-03 11:46:10
89,Employee89,LastName89,employee89@company.com,+1-555-370-2330,2020-08-04,6,16,22.0,E,True,Branch1,Full-time,2025-08-03 11:46:10
90,Employee90,LastName90,employee90@company.com,+1-555-561-8699,2021-02-22,10,3,29.0,C,True,Remote,Full-time,2025-08-03 11:46:10
91,Employee91,LastName91,employee91@company.com,+1-555-339-5334,2021-12-04,19,43,25.0,D,True,Branch1,Contract,2025-08-03 11:46:10
92,Employee92,LastName92,employee92@company.com,+1-555-372-3330,2020-06-01,3,4,21.0,C,True,Remote,Full-time,2025-08-03 11:46:10
93,Employee93,LastName93,employee93@company.com,+1-555-805-5982,2021-04-24,13,18,64.0,E,False,Remote,Full-time,2025-08-03 11:46:10
94,Employee94,LastName94,employee94@company.com,+1-555-140-8078,2021-09-04,11,39,32.0,A,True,Branch1,Contract,2025-08-03 11:46:10
95,Employee95,LastName95,employee95@company.com,+1-555-981-1339,2022-05-06,9,37,5.0,B,False,Remote,Part-time,2025-08-03 11:46:10
96,Employee96,LastName96,employee96@company.com,+1-555-699-8141,2020-07-04,16,6,60.0,C,False,Branch2,Part-time,2025-08-03 11:46:10
97,Employee97,LastName97,employee97@company.com,+1-555-207-3634,2021-11-17,11,27,88.0,D,True,Remote,Contract,2025-08-03 11:46:10
98,Employee98,LastName98,employee98@company.com,+1-555-565-2442,2020-02-07,11,17,41.0,A,False,HQ,Contract,2025-08-03 11:46:10
99,Employee99,LastName99,employee99@company.com,+1-555-655-8569,2022-06-09,14,4,24.0,E,True,Remote,Contract,2025-08-03 11:46:10
100,Employee100,LastName100,employee100@company.com,+1-555-878-1845,2021-03-28,7,18,70.0,B,True,Remote,Contract,2025-08-03 11:46:10
101,Employee101,LastName101,employee101@company.com,+1-555-224-1472,2021-05-11,20,16,90.0,B,True,HQ,Contract,2025-08-03 11:46:10
102,Employee102,LastName102,employee102@company.com,+1-555-195-4681,2021-02-21,4,30,15.0,B,False,Branch2,Contract,2025-08-03 11:46:10
103,Employee103,LastName103,employee103@company.com,+1-555-379-7807,2021-12-23,16,31,31.0,D,True,Remote,Full-time,2025-08-03 11:46:10
104,Employee104,LastName104,employee104@company.com,+1-555-713-9327,2022-08-01,5,5,35.0,D,True,Branch2,Full-time,2025-08-03 11:46:10
105,Employee105,LastName105,employee105@company.com,+1-555-843-5891,2020-10-16,19,38,84.0,D,True,Remote,Contract,2025-08-03 11:46:10
106,Employee106,LastName106,employee106@company.com,+1-555-453-6446,2021-05-10,18,49,69.0,D,False,Branch2,Full-time,2025-08-03 11:46:10
107,Employee107,LastName107,employee107@company.com,+1-555-344-7274,2021-12-15,8,50,52.0,A,True,Remote,Contract,2025-08-03 11:46:10
108,Employee108,LastName108,employee108@company.com,+1-555-930-7246,2022-07-24,13,43,101.0,B,False,HQ,Full-time,2025-08-03 11:46:10
109,Employee109,LastName109,employee109@company.com,+1-555-704-6439,2021-05-29,4,29,12.0,E,False,HQ,Contract,2025-08-03 11:46:10
110,Employee110,LastName110,employee110@company.com,+1-555-519-3529,2020-05-27,3,31,100.0,C,True,Remote,Contract,2025-08-03 11:46:10
111,Employee111,LastName111,employee111@company.com,+1-555-972-6383,2020-03-23,18,25,40.0,D,True,HQ,Full-time,2025-08-03 11:46:10
112,Employee112,LastName112,employee112@company.com,+1-555-800-5708,2021-10-08,8,48,11.0,D,True,HQ,Part-time,2025-08-03 11:46:10
113,Employee113,LastName113,employee113@company.com,+1-555-810-5906,2020-06-19,1,3,41.0,A,True,Branch2,Part-time,2025-08-03 11:46:10
114,Employee114,LastName114,employee114@company.com,+1-555-249-5000,2021-03-17,17,27,72.0,B,True,Branch1,Full-time,2025-08-03 11:46:10
115,Employee115,LastName115,employee115@company.com,+1-555-991-7267,2021-09-16,20,44,30.0,D,True,Branch1,Part-time,2025-08-03 11:46:10
116,Employee116,LastName116,employee116@company.com,+1-555-360-8529,2021-10-15,9,43,1.0,D,True,Branch1,Full-time,2025-08-03 11:46:10
117,Employee117,LastName117,employee117@company.com,+1-555-453-5901,2021-03-28,14,45,32.0,D,True,Branch1,Part-time,2025-08-03 11:46:10
118,Employee118,LastName118,employee118@company.com,+1-555-594-2747,2022-05-23,8,25,73.0,C,True,Branch2,Full-time,2025-08-03 11:46:10
119,Employee119,LastName119,employee119@company.com,+1-555-774-7484,2022-04-29,9,1,72.0,A,False,Branch2,Full-time,2025-08-03 11:46:10
120,Employee120,LastName120,employee120@company.com,+1-555-921-6772,2021-09-13,8,41,24.0,E,True,Branch1,Contract,2025-08-03 11:46:10
121,Employee121,LastName121,employee121@company.com,+1-555-742-1645,2020-04-09,10,29,4.0,E,True,Branch1,Full-time,2025-08-03 11:46:10
122,Employee122,LastName122,employee122@company.com,+1-555-402-6352,2022-07-20,14,12,25.0,B,True,Branch2,Full-time,2025-08-03 11:46:10
123,Employee123,LastName123,employee123@company.com,+1-555-944-8894,2020-09-20,10,48,111.0,C,True,Remote,Full-time,2025-08-03 11:46:10
124,Employee124,LastName124,employee124@company.com,+1-555-872-4696,2020-05-24,13,36,46.0,A,False,HQ,Part-time,2025-08-03 11:46:10
125,Employee125,LastName125,employee125@company.com,+1-555-226-8451,2021-07-03,12,44,95.0,C,False,Branch2,Full-time,2025-08-03 11:46:10
126,Employee126,LastName126,employee126@company.com,+1-555-339-8724,2021-11-22,1,40,113.0,E,True,Branch1,Contract,2025-08-03 11:46:10
127,Employee127,LastName127,employee127@company.com,+1-555-750-8606,2020-03-05,10,42,52.0,A,True,HQ,Full-time,2025-08-03 11:46:10
128,Employee128,LastName128,employee128@company.com,+1-555-604-2902,2020-11-07,4,16,34.0,D,False,Branch2,Contract,2025-08-03 11:46:10
129,Employee129,LastName129,employee129@company.com,+1-555-860-9850,2022-08-30,14,38,39.0,D,True,Remote,Contract,2025-08-03 11:46:10
130,Employee130,LastName130,employee130@company.com,+1-555-386-1536,2021-02-21,12,14,113.0,D,True,Branch2,Full-time,2025-08-03 11:46:10
131,Employee131,LastName131,employee131@company.com,+1-555-476-9920,2021-12-03,12,4,101.0,C,True,HQ,Part-time,2025-08-03 11:46:10
132,Employee132,LastName132,employee132@company.com,+1-555-778-4475,2020-04-03,20,2,12.0,C,True,Branch1,Contract,2025-08-03 11:46:10
133,Employee133,LastName133,employee133@company.com,+1-555-170-4394,2020-07-29,19,14,59.0,C,True,HQ,Part-time,2025-08-03 11:46:10
134,Employee134,LastName134,employee134@company.com,+1-555-248-3129,2022-05-29,18,17,44.0,A,True,Branch1,Full-time,2025-08-03 11:46:10
135,Employee135,LastName135,employee135@company.com,+1-555-908-4898,2021-01-01,19,21,4.0,B,True,HQ,Full-time,2025-08-03 11:46:10
136,Employee136,LastName136,employee136@company.com,+1-555-531-9619,2022-01-29,4,48,16.0,D,False,Branch2,Contract,2025-08-03 11:46:10
137,Employee137,LastName137,employee137@company.com,+1-555-211-8405,2021-08-30,17,15,11.0,E,True,Remote,Contract,2025-08-03 11:46:10
138,Employee138,LastName138,employee138@company.com,+1-555-131-1996,2022-09-14,16,26,109.0,A,False,Remote,Full-time,2025-08-03 11:46:10
139,Employee139,LastName139,employee139@company.com,+1-555-182-6277,2022-07-09,20,10,16.0,B,True,Branch2,Part-time,2025-08-03 11:46:10
140,Employee140,LastName140,employee140@company.com,+1-555-643-5831,2021-09-03,15,33,110.0,A,True,Branch1,Part-time,2025-08-03 11:46:10
141,Employee141,LastName141,employee141@company.com,+1-555-333-7779,2021-04-07,11,30,102.0,D,True,Branch2,Part-time,2025-08-03 11:46:10
142,Employee142,LastName142,employee142@company.com,+1-555-781-5176,2020-11-16,12,10,121.0,A,True,HQ,Full-time,2025-08-03 11:46:10
143,Employee143,LastName143,employee143@company.com,+1-555-198-7105,2021-03-18,5,36,15.0,E,True,HQ,Part-time,2025-08-03 11:46:10
144,Employee144,LastName144,employee144@company.com,+1-555-994-7929,2020-12-28,2,19,79.0,C,True,Branch1,Full-time,2025-08-03 11:46:10
145,Employee145,LastName145,employee145@company.com,+1-555-593-4674,2021-11-03,4,23,142.0,C,True,Branch2,Contract,2025-08-03 11:46:10
146,Employee146,LastName146,employee146@company.com,+1-555-926-8030,2020-08-19,18,50,142.0,A,True,HQ,Full-time,2025-08-03 11:46:10
147,Employee147,LastName147,employee147@company.com,+1-555-819-6062,2020-10-06,11,23,1.0,B,True,Remote,Full-time,2025-08-03 11:46:10
148,Employee148,LastName148,employee148@company.com,+1-555-858-1502,2020-05-25,3,48,135.0,B,False,Remote,Part-time,2025-08-03 11:46:10
149,Employee149,LastName149,employee149@company.com,+1-555-261-7062,2020-12-15,10,47,83.0,E,True,HQ,Full-time,2025-08-03 11:46:10
150,Employee150,LastName150,employee150@company.com,+1-555-872-1815,2020-06-10,3,18,113.0,D,False,Remote,Part-time,2025-08-03 11:46:10
151,Employee151,LastName151,employee151@company.com,+1-555-320-9394,2020-10-06,4,23,110.0,A,True,Remote,Contract,2025-08-03 11:46:10
152,Employee152,LastName152,employee152@company.com,+1-555-415-1744,2021-11-14,8,26,14.0,A,True,Branch2,Full-time,2025-08-03 11:46:10
153,Employee153,LastName153,employee153@company.com,+1-555-240-5186,2022-02-24,10,21,30.0,A,False,Remote,Full-time,2025-08-03 11:46:10
154,Employee154,LastName154,employee154@company.com,+1-555-489-9725,2020-05-12,8,33,143.0,C,True,Remote,Contract,2025-08-03 11:46:10
155,Employee155,LastName155,employee155@company.com,+1-555-546-1307,2020-02-13,15,5,80.0,E,False,Remote,Contract,2025-08-03 11:46:10
156,Employee156,LastName156,employee156@company.com,+1-555-527-5743,2021-10-17,4,26,5.0,C,True,Remote,Contract,2025-08-03 11:46:10
157,Employee157,LastName157,employee157@company.com,+1-555-470-2443,2022-07-30,14,7,62.0,D,False,HQ,Part-time,2025-08-03 11:46:10
158,Employee158,LastName158,employee158@company.com,+1-555-417-6562,2022-06-10,8,22,43.0,A,True,Branch1,Part-time,2025-08-03 11:46:10
159,Employee159,LastName159,employee159@company.com,+1-555-844-3419,2020-12-25,8,7,37.0,C,True,Branch1,Contract,2025-08-03 11:46:10
160,Employee160,LastName160,employee160@company.com,+1-555-878-2234,2020-06-05,6,50,126.0,D,False,Branch2,Contract,2025-08-03 11:46:10
161,Employee161,LastName161,employee161@company.com,+1-555-254-8205,2020-11-19,3,31,113.0,C,True,HQ,Part-time,2025-08-03 11:46:10
162,Employee162,LastName162,employee162@company.com,+1-555-175-6085,2021-06-03,15,29,9.0,A,True,Branch2,Full-time,2025-08-03 11:46:10
163,Employee163,LastName163,employee163@company.com,+1-555-984-2479,2021-10-22,20,39,129.0,D,False,HQ,Part-time,2025-08-03 11:46:10
164,Employee164,LastName164,employee164@company.com,+1-555-929-4084,2022-07-19,11,39,121.0,E,True,HQ,Part-time,2025-08-03 11:46:10
165,Employee165,LastName165,employee165@company.com,+1-555-930-6626,2020-04-15,3,33,44.0,A,True,Remote,Part-time,2025-08-03 11:46:10
166,Employee166,LastName166,employee166@company.com,+1-555-635-3600,2021-06-20,12,24,72.0,D,False,Branch2,Contract,2025-08-03 11:46:10
167,Employee167,LastName167,employee167@company.com,+1-555-153-6482,2021-09-04,3,22,24.0,E,False,Branch2,Part-time,2025-08-03 11:46:10
168,Employee168,LastName168,employee168@company.com,+1-555-972-3463,2022-01-11,11,6,149.0,B,True,Branch2,Contract,2025-08-03 11:46:10
169,Employee169,LastName169,employee169@company.com,+1-555-778-7421,2021-12-16,5,39,21.0,C,False,Branch2,Full-time,2025-08-03 11:46:10
170,Employee170,LastName170,employee170@company.com,+1-555-819-9624,2021-11-17,3,42,108.0,E,True,HQ,Part-time,2025-08-03 11:46:10
171,Employee171,LastName171,employee171@company.com,+1-555-284-4509,2020-11-12,11,50,124.0,B,True,Branch1,Full-time,2025-08-03 11:46:10
172,Employee172,LastName172,employee172@company.com,+1-555-402-2657,2020-03-20,17,50,138.0,E,True,Branch2,Contract,2025-08-03 11:46:10
173,Employee173,LastName173,employee173@company.com,+1-555-711-7172,2020-05-14,5,11,46.0,E,True,Remote,Full-time,2025-08-03 11:46:10
174,Employee174,LastName174,employee174@company.com,+1-555-473-4891,2021-02-24,15,40,72.0,D,True,Branch1,Part-time,2025-08-03 11:46:10
175,Employee175,LastName175,employee175@company.com,+1-555-928-8684,2022-09-15,7,24,173.0,E,False,Remote,Part-time,2025-08-03 11:46:10
176,Employee176,LastName176,employee176@company.com,+1-555-491-9239,2022-03-07,17,27,41.0,B,True,Branch2,Full-time,2025-08-03 11:46:10
177,Employee177,LastName177,employee177@company.com,+1-555-592-7081,2021-10-18,18,7,132.0,A,True,HQ,Full-time,2025-08-03 11:46:10
178,Employee178,LastName178,employee178@company.com,+1-555-560-9410,2020-10-06,5,28,23.0,B,False,Branch2,Full-time,2025-08-03 11:46:10
179,Employee179,LastName179,employee179@company.com,+1-555-154-7495,2021-02-28,17,24,60.0,D,True,Branch2,Full-time,2025-08-03 11:46:10
180,Employee180,LastName180,employee180@company.com,+1-555-426-2623,2020-01-29,11,10,35.0,A,True,Remote,Contract,2025-08-03 11:46:10
181,Employee181,LastName181,employee181@company.com,+1-555-242-8685,2022-05-01,15,40,1.0,A,True,Branch2,Full-time,2025-08-03 11:46:10
182,Employee182,LastName182,employee182@company.com,+1-555-253-9991,2022-05-05,20,34,108.0,A,True,Branch1,Part-time,2025-08-03 11:46:10
183,Employee183,LastName183,employee183@company.com,+1-555-148-4906,2020-05-04,14,41,159.0,D,True,HQ,Part-time,2025-08-03 11:46:10
184,Employee184,LastName184,employee184@company.com,+1-555-648-1269,2021-09-03,17,37,61.0,B,True,Remote,Full-time,2025-08-03 11:46:10
185,Employee185,LastName185,employee185@company.com,+1-555-461-4941,2021-09-21,19,27,47.0,A,True,HQ,Contract,2025-08-03 11:46:10
186,Employee186,LastName186,employee186@company.com,+1-555-619-9316,2021-07-11,18,2,99.0,D,True,Remote,Part-time,2025-08-03 11:46:10
187,Employee187,LastName187,employee187@company.com,+1-555-865-1266,2020-09-16,12,5,88.0,B,True,Branch2,Full-time,2025-08-03 11:46:10
188,Employee188,LastName188,employee188@company.com,+1-555-460-9945,2020-02-15,11,42,44.0,D,False,Branch1,Full-time,2025-08-03 11:46:10
189,Employee189,LastName189,employee189@company.com,+1-555-833-8498,2020-03-05,2,19,51.0,A,True,HQ,Part-time,2025-08-03 11:46:10
190,Employee190,LastName190,employee190@company.com,+1-555-417-9444,2022-08-13,13,35,121.0,C,True,Branch1,Part-time,2025-08-03 11:46:10
191,Employee191,LastName191,employee191@company.com,+1-555-982-1783,2020-12-31,11,18,31.0,C,False,Remote,Contract,2025-08-03 11:46:10
192,Employee192,LastName192,employee192@company.com,+1-555-495-6554,2021-03-26,6,32,177.0,D,True,Branch2,Full-time,2025-08-03 11:46:10
193,Employee193,LastName193,employee193@company.com,+1-555-534-2293,2022-01-14,14,39,46.0,E,True,Branch2,Full-time,2025-08-03 11:46:10
194,Employee194,LastName194,employee194@company.com,+1-555-435-5843,2020-03-22,10,29,154.0,D,True,Remote,Part-time,2025-08-03 11:46:10
195,Employee195,LastName195,employee195@company.com,+1-555-143-6776,2021-04-02,20,28,70.0,A,True,Remote,Part-time,2025-08-03 11:46:10
